epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,438.225,0.30744,0.30949,0.84091,0.99595,1,0.995,0.9044,0.47257,0.27885,1.04501,0.000218,0.000218,0.000218
92,442.901,0.38693,0.35658,0.93566,0.99595,1,0.995,0.8967,0.48308,0.25799,1.05081,0.0001982,0.0001982,0.0001982
93,447.095,0.29996,0.27395,0.86175,0.99595,1,0.995,0.89632,0.49824,0.27209,1.06729,0.0001784,0.0001784,0.0001784
94,451.347,0.36325,0.29447,0.86515,0.99585,1,0.995,0.89598,0.50337,0.28091,1.07779,0.0001586,0.0001586,0.0001586
95,455.745,0.29941,0.2527,0.87919,0.99586,1,0.995,0.90363,0.50098,0.27608,1.07541,0.0001388,0.0001388,0.0001388
96,459.763,0.3191,0.27098,0.87104,0.9958,1,0.995,0.92614,0.48783,0.28758,1.0569,0.000119,0.000119,0.000119
97,464.109,0.29804,0.25954,0.83398,0.9959,1,0.995,0.92664,0.49594,0.27857,1.05771,9.92e-05,9.92e-05,9.92e-05
98,468.444,0.27443,0.2533,0.84466,0.99594,1,0.995,0.93816,0.40532,0.29654,0.96758,7.94e-05,7.94e-05,7.94e-05
99,472.606,0.32514,0.27057,0.83189,0.99597,1,0.995,0.95127,0.34564,0.29954,0.9126,5.96e-05,5.96e-05,5.96e-05
100,476.757,0.27657,0.25595,0.79801,0.99604,1,0.995,0.95127,0.33249,0.29156,0.90217,3.98e-05,3.98e-05,3.98e-05
